Start Zone,Start zone score,End Zone,End zone score
Zone 1,0.0012804324991788282,Zone 1,0.0012804324991788282
Zone 2,0.006022504000689896,Zone 2,0.006022504000689896
Zone 3,0.0013587754549153484,Zone 3,0.0013587754549153484
Zone 4,0.002461767188383252,Zone 4,0.002461767188383252
Zone 5,0.004790141648297331,Zone 5,0.004790141648297331
Zone 6,0.011331395138907754,Zone 6,0.011331395138907754
Zone 7,0.027492332339479716,Zone 7,0.027492332339479716
Zone 8,0.08601730952065476,Zone 8,0.08601730952065476
